date,store,sku,category,units_sold,inventory_on_hand,price,pred_lag_7_baseline,pred_ridge_regression,pred_random_forest,pred_gradient_boosting,best_model,forecast_units
2025-04-04,Boston,SKU-1001,Grocery,270,452,4.92,128.0,155.2,182.92,177.47,gradient_boosting,177.47
2025-04-05,Boston,SKU-1001,Grocery,290,552,4.52,209.0,197.96,231.07,234.6,gradient_boosting,234.6
2025-04-06,Boston,SKU-1001,Grocery,188,518,4.95,216.0,193.85,192.37,200.64,gradient_boosting,200.64
2025-04-07,Boston,SKU-1001,Grocery,77,510,5.08,142.0,155.48,154.62,160.52,gradient_boosting,160.52
2025-04-08,Boston,SKU-1001,Grocery,165,265,4.95,154.0,160.64,155.79,154.13,gradient_boosting,154.13
2025-04-09,Boston,SKU-1001,Grocery,188,320,5.11,138.0,166.48,149.07,153.12,gradient_boosting,153.12
2025-04-10,Boston,SKU-1001,Grocery,167,499,5.03,142.0,160.24,157.34,159.15,gradient_boosting,159.15
2025-04-11,Boston,SKU-1001,Grocery,124,300,4.96,270.0,181.04,196.4,187.57,gradient_boosting,187.57
2025-04-12,Boston,SKU-1001,Grocery,180,376,4.84,290.0,196.15,194.09,195.38,gradient_boosting,195.38
2025-04-13,Boston,SKU-1001,Grocery,141,676,4.88,188.0,177.08,187.01,183.55,gradient_boosting,183.55
2025-04-14,Boston,SKU-1001,Grocery,114,567,4.95,77.0,140.23,143.73,144.86,gradient_boosting,144.86
2025-04-15,Boston,SKU-1001,Grocery,92,481,5.03,165.0,157.09,146.51,153.08,gradient_boosting,153.08
2025-04-16,Boston,SKU-1001,Grocery,136,662,4.47,188.0,170.47,165.87,165.87,gradient_boosting,165.87
2025-04-17,Boston,SKU-1001,Grocery,148,583,4.99,167.0,153.23,138.85,141.8,gradient_boosting,141.8
2025-04-18,Boston,SKU-1001,Grocery,202,393,4.86,124.0,178.65,186.25,192.94,gradient_boosting,192.94
2025-04-19,Boston,SKU-1001,Grocery,143,578,5.06,180.0,188.99,182.87,188.3,gradient_boosting,188.3
2025-04-20,Boston,SKU-1001,Grocery,123,575,5.07,141.0,165.71,171.78,175.54,gradient_boosting,175.54
2025-04-21,Boston,SKU-1001,Grocery,131,712,4.91,114.0,127.48,139.13,135.6,gradient_boosting,135.6
2025-04-22,Boston,SKU-1001,Grocery,187,363,5.02,92.0,148.96,133.62,140.79,gradient_boosting,140.79
2025-04-23,Boston,SKU-1001,Grocery,155,816,4.89,136.0,153.21,142.23,143.2,gradient_boosting,143.2
2025-04-24,Boston,SKU-1001,Grocery,204,508,4.51,148.0,176.4,172.01,173.08,gradient_boosting,173.08
2025-04-25,Boston,SKU-1001,Grocery,178,424,4.97,202.0,161.9,178.42,175.43,gradient_boosting,175.43
2025-04-26,Boston,SKU-1001,Grocery,198,317,5.03,143.0,172.51,196.47,187.53,gradient_boosting,187.53
2025-04-27,Boston,SKU-1001,Grocery,163,378,4.53,123.0,179.49,190.52,198.85,gradient_boosting,198.85
2025-04-28,Boston,SKU-1001,Grocery,151,439,4.88,131.0,145.69,147.72,146.28,gradient_boosting,146.28
2025-04-29,Boston,SKU-1001,Grocery,178,326,5.0,187.0,154.46,147.37,147.39,gradient_boosting,147.39
2025-04-30,Boston,SKU-1001,Grocery,186,255,5.0,155.0,161.78,150.22,148.37,gradient_boosting,148.37
2025-03-02,Boston,SKU-1002,Grocery,174,401,7.75,182.0,159.42,179.86,173.25,gradient_boosting,173.25
2025-03-03,Boston,SKU-1002,Grocery,105,546,8.52,111.0,113.43,115.29,117.11,gradient_boosting,117.11
2025-03-04,Boston,SKU-1002,Grocery,147,259,7.59,152.0,140.89,163.22,145.36,gradient_boosting,145.36
2025-03-05,Boston,SKU-1002,Grocery,118,572,8.37,90.0,115.88,116.33,116.71,gradient_boosting,116.71
2025-03-06,Boston,SKU-1002,Grocery,110,433,8.38,116.0,127.07,118.94,117.95,gradient_boosting,117.95
2025-03-07,Boston,SKU-1002,Grocery,126,349,7.87,161.0,166.7,181.01,180.3,gradient_boosting,180.3
2025-03-08,Boston,SKU-1002,Grocery,127,475,8.23,119.0,129.79,155.49,142.94,gradient_boosting,142.94
2025-03-09,Boston,SKU-1002,Grocery,163,350,8.35,174.0,151.54,163.8,148.0,gradient_boosting,148.0
2025-03-10,Boston,SKU-1002,Grocery,111,381,8.43,105.0,118.31,122.69,116.46,gradient_boosting,116.46
2025-03-11,Boston,SKU-1002,Grocery,168,138,8.46,147.0,135.74,119.06,116.1,gradient_boosting,116.1
2025-03-12,Boston,SKU-1002,Grocery,104,542,8.4,118.0,114.92,117.54,116.65,gradient_boosting,116.65
2025-03-13,Boston,SKU-1002,Grocery,120,447,8.63,110.0,122.69,113.55,117.37,gradient_boosting,117.37
2025-03-14,Boston,SKU-1002,Grocery,166,267,8.58,126.0,137.28,146.03,147.43,gradient_boosting,147.43
2025-03-15,Boston,SKU-1002,Grocery,100,433,8.49,127.0,129.89,137.75,141.37,gradient_boosting,141.37
2025-03-16,Boston,SKU-1002,Grocery,137,421,8.56,163.0,147.54,149.53,147.05,gradient_boosting,147.05
2025-03-17,Boston,SKU-1002,Grocery,140,294,7.62,111.0,135.08,142.86,145.04,gradient_boosting,145.04
2025-03-18,Boston,SKU-1002,Grocery,124,386,8.51,168.0,132.34,111.83,117.92,gradient_boosting,117.92
2025-03-19,Boston,SKU-1002,Grocery,95,502,8.62,104.0,120.3,124.81,120.63,gradient_boosting,120.63
2025-03-20,Boston,SKU-1002,Grocery,90,325,8.38,120.0,125.87,119.8,116.46,gradient_boosting,116.46
2025-03-21,Boston,SKU-1002,Grocery,126,524,8.4,166.0,130.31,141.04,139.29,gradient_boosting,139.29
2025-03-22,Boston,SKU-1002,Grocery,168,530,8.31,100.0,122.73,149.64,134.54,gradient_boosting,134.54
2025-03-23,Boston,SKU-1002,Grocery,160,401,7.92,137.0,155.87,176.9,169.26,gradient_boosting,169.26
2025-03-24,Boston,SKU-1002,Grocery,110,344,8.41,140.0,119.63,109.91,112.43,gradient_boosting,112.43
2025-03-25,Boston,SKU-1002,Grocery,110,420,8.44,124.0,128.62,106.86,113.83,gradient_boosting,113.83
2025-03-26,Boston,SKU-1002,Grocery,114,294,8.64,95.0,117.07,104.44,111.0,gradient_boosting,111.0
2025-03-27,Boston,SKU-1002,Grocery,103,553,8.33,90.0,116.97,108.77,111.02,gradient_boosting,111.02
2025-03-28,Boston,SKU-1002,Grocery,163,236,8.64,126.0,137.04,144.01,140.93,gradient_boosting,140.93
2025-03-29,Boston,SKU-1002,Grocery,185,477,8.52,168.0,130.49,140.47,139.05,gradient_boosting,139.05
2025-03-30,Boston,SKU-1002,Grocery,111,256,8.43,160.0,141.5,138.41,141.82,gradient_boosting,141.82
2025-03-31,Boston,SKU-1002,Grocery,93,562,8.49,110.0,117.47,105.15,111.64,gradient_boosting,111.64
2025-04-01,Boston,SKU-1002,Grocery,91,305,8.2,110.0,120.87,111.67,115.96,gradient_boosting,115.96
2025-04-02,Boston,SKU-1002,Grocery,110,379,8.35,114.0,115.12,114.22,115.22,gradient_boosting,115.22
2025-04-03,Boston,SKU-1002,Grocery,113,258,8.39,103.0,117.2,118.1,114.95,gradient_boosting,114.95
2025-04-04,Boston,SKU-1002,Grocery,175,368,7.71,163.0,146.63,170.25,171.03,gradient_boosting,171.03
2025-04-05,Boston,SKU-1002,Grocery,116,388,8.49,185.0,142.6,135.65,142.61,gradient_boosting,142.61
2025-04-06,Boston,SKU-1002,Grocery,124,341,8.45,111.0,135.18,146.11,142.94,gradient_boosting,142.94
2025-04-07,Boston,SKU-1002,Grocery,115,579,8.42,93.0,106.59,114.2,112.29,gradient_boosting,112.29
2025-04-08,Boston,SKU-1002,Grocery,121,238,8.27,91.0,115.79,118.06,117.9,gradient_boosting,117.9
2025-04-09,Boston,SKU-1002,Grocery,96,424,8.51,110.0,116.69,102.59,109.79,gradient_boosting,109.79
2025-04-10,Boston,SKU-1002,Grocery,118,589,8.2,113.0,113.01,115.42,114.85,gradient_boosting,114.85
2025-04-11,Boston,SKU-1002,Grocery,138,151,8.54,175.0,143.12,133.82,140.85,gradient_boosting,140.85
2025-04-12,Boston,SKU-1002,Grocery,130,393,8.52,116.0,135.53,134.86,139.42,gradient_boosting,139.42
2025-04-13,Boston,SKU-1002,Grocery,119,196,8.35,124.0,127.98,134.7,131.66,gradient_boosting,131.66
2025-04-14,Boston,SKU-1002,Grocery,136,476,8.2,115.0,108.01,103.12,111.82,gradient_boosting,111.82
2025-04-15,Boston,SKU-1002,Grocery,125,527,8.72,121.0,108.3,101.02,107.9,gradient_boosting,107.9
2025-04-16,Boston,SKU-1002,Grocery,77,630,8.41,96.0,109.78,105.68,108.61,gradient_boosting,108.61
2025-04-17,Boston,SKU-1002,Grocery,145,378,8.19,118.0,118.09,108.56,110.65,gradient_boosting,110.65
2025-04-18,Boston,SKU-1002,Grocery,142,531,8.58,138.0,132.39,140.28,139.57,gradient_boosting,139.57
2025-04-19,Boston,SKU-1002,Grocery,135,360,8.51,130.0,126.98,142.53,136.63,gradient_boosting,136.63
2025-04-20,Boston,SKU-1002,Grocery,185,225,8.58,119.0,130.45,141.48,135.87,gradient_boosting,135.87
2025-04-21,Boston,SKU-1002,Grocery,100,322,8.51,136.0,120.72,111.33,112.18,gradient_boosting,112.18
2025-04-22,Boston,SKU-1002,Grocery,106,208,8.64,125.0,123.09,114.16,111.76,gradient_boosting,111.76
2025-04-23,Boston,SKU-1002,Grocery,133,529,8.61,77.0,108.35,104.41,106.19,gradient_boosting,106.19
2025-04-24,Boston,SKU-1002,Grocery,88,589,8.26,145.0,121.33,104.48,110.85,gradient_boosting,110.85
2025-04-25,Boston,SKU-1002,Grocery,152,88,8.49,142.0,134.64,138.82,137.85,gradient_boosting,137.85
2025-04-26,Boston,SKU-1002,Grocery,147,582,8.33,135.0,126.96,150.31,136.24,gradient_boosting,136.24
2025-04-27,Boston,SKU-1002,Grocery,157,653,8.36,185.0,130.09,141.1,137.65,gradient_boosting,137.65
2025-04-28,Boston,SKU-1002,Grocery,139,578,8.53,100.0,113.04,103.06,109.62,gradient_boosting,109.62
2025-04-29,Boston,SKU-1002,Grocery,123,570,7.43,106.0,130.5,127.86,135.97,gradient_boosting,135.97
2025-04-30,Boston,SKU-1002,Grocery,82,261,8.65,133.0,115.25,110.63,110.57,gradient_boosting,110.57
2025-03-02,Boston,SKU-2001,Health,70,212,13.3,25.0,54.19,54.57,55.56,gradient_boosting,55.56
2025-03-03,Boston,SKU-2001,Health,51,184,12.94,56.0,48.29,49.05,48.16,gradient_boosting,48.16
2025-03-04,Boston,SKU-2001,Health,55,205,13.07,53.0,48.27,48.76,47.88,gradient_boosting,47.88
2025-03-05,Boston,SKU-2001,Health,66,290,12.94,58.0,50.36,49.04,48.23,gradient_boosting,48.23
2025-03-06,Boston,SKU-2001,Health,55,239,12.53,61.0,52.97,48.67,49.74,gradient_boosting,49.74
2025-03-07,Boston,SKU-2001,Health,70,308,12.91,55.0,55.27,58.94,60.24,gradient_boosting,60.24
2025-03-08,Boston,SKU-2001,Health,49,159,12.86,68.0,63.14,61.06,61.5,gradient_boosting,61.5
2025-03-09,Boston,SKU-2001,Health,74,256,12.85,70.0,55.87,58.79,58.3,gradient_boosting,58.3
2025-03-10,Boston,SKU-2001,Health,49,363,12.88,51.0,45.62,48.51,48.83,gradient_boosting,48.83
2025-03-11,Boston,SKU-2001,Health,38,215,12.97,55.0,49.75,48.81,48.76,gradient_boosting,48.76
2025-03-12,Boston,SKU-2001,Health,58,220,12.79,66.0,54.21,47.56,50.09,gradient_boosting,50.09
2025-03-13,Boston,SKU-2001,Health,42,305,13.07,55.0,52.51,48.23,48.83,gradient_boosting,48.83
2025-03-14,Boston,SKU-2001,Health,84,377,11.7,70.0,69.53,70.09,73.79,gradient_boosting,73.79
2025-03-15,Boston,SKU-2001,Health,60,194,12.7,49.0,60.15,63.59,59.9,gradient_boosting,59.9
2025-03-16,Boston,SKU-2001,Health,66,302,12.85,74.0,64.26,60.0,61.66,gradient_boosting,61.66
2025-03-17,Boston,SKU-2001,Health,52,170,12.97,49.0,49.34,51.67,50.49,gradient_boosting,50.49
2025-03-18,Boston,SKU-2001,Health,37,170,12.86,38.0,50.09,51.21,50.17,gradient_boosting,50.17
2025-03-19,Boston,SKU-2001,Health,53,239,13.44,58.0,54.98,47.9,48.77,gradient_boosting,48.77
2025-03-20,Boston,SKU-2001,Health,49,290,11.93,42.0,68.22,57.96,63.16,gradient_boosting,63.16
2025-03-21,Boston,SKU-2001,Health,103,245,11.98,84.0,76.2,71.67,78.45,gradient_boosting,78.45
2025-03-22,Boston,SKU-2001,Health,61,233,12.86,60.0,57.96,62.85,63.25,gradient_boosting,63.25
2025-03-23,Boston,SKU-2001,Health,46,355,12.73,66.0,62.8,64.16,63.13,gradient_boosting,63.13
2025-03-24,Boston,SKU-2001,Health,58,280,12.99,52.0,47.81,53.37,52.94,gradient_boosting,52.94
2025-03-25,Boston,SKU-2001,Health,40,249,13.11,37.0,46.71,51.1,51.85,gradient_boosting,51.85
2025-03-26,Boston,SKU-2001,Health,44,276,12.94,53.0,52.88,51.18,52.87,gradient_boosting,52.87
2025-03-27,Boston,SKU-2001,Health,54,298,13.1,49.0,49.8,50.97,50.07,gradient_boosting,50.07
2025-03-28,Boston,SKU-2001,Health,46,259,13.43,103.0,68.06,62.03,64.97,gradient_boosting,64.97
2025-03-29,Boston,SKU-2001,Health,61,195,12.59,61.0,59.93,68.63,61.67,gradient_boosting,61.67
2025-03-30,Boston,SKU-2001,Health,69,141,12.9,46.0,61.67,67.03,60.6,gradient_boosting,60.6
2025-03-31,Boston,SKU-2001,Health,53,198,12.83,58.0,49.62,47.75,49.8,gradient_boosting,49.8
2025-04-01,Boston,SKU-2001,Health,58,109,12.72,40.0,47.55,47.97,48.71,gradient_boosting,48.71
2025-04-02,Boston,SKU-2001,Health,55,229,12.67,44.0,50.49,49.23,49.83,gradient_boosting,49.83
2025-04-03,Boston,SKU-2001,Health,58,226,13.03,54.0,54.51,50.32,48.83,gradient_boosting,48.83
2025-04-04,Boston,SKU-2001,Health,56,142,13.04,46.0,65.9,62.07,61.24,gradient_boosting,61.24
2025-04-05,Boston,SKU-2001,Health,87,300,11.44,61.0,75.07,75.61,74.96,gradient_boosting,74.96
2025-04-06,Boston,SKU-2001,Health,61,0,11.69,69.0,80.96,77.27,77.5,gradient_boosting,77.5
2025-04-07,Boston,SKU-2001,Health,70,177,11.65,53.0,66.77,66.71,64.26,gradient_boosting,64.26
2025-04-08,Boston,SKU-2001,Health,53,222,12.69,58.0,47.77,49.64,49.32,gradient_boosting,49.32
2025-04-09,Boston,SKU-2001,Health,48,294,12.84,55.0,51.0,54.62,52.59,gradient_boosting,52.59
2025-04-10,Boston,SKU-2001,Health,60,220,12.9,58.0,55.44,50.71,50.42,gradient_boosting,50.42
2025-04-11,Boston,SKU-2001,Health,60,286,13.0,56.0,53.3,68.55,63.33,gradient_boosting,63.33
2025-04-12,Boston,SKU-2001,Health,57,164,12.89,87.0,65.42,65.18,64.3,gradient_boosting,64.3
2025-04-13,Boston,SKU-2001,Health,66,319,12.98,61.0,61.72,62.29,63.31,gradient_boosting,63.31
2025-04-14,Boston,SKU-2001,Health,45,352,13.07,70.0,48.65,50.16,51.67,gradient_boosting,51.67
2025-04-15,Boston,SKU-2001,Health,42,188,13.02,53.0,52.58,52.89,50.49,gradient_boosting,50.49
2025-04-16,Boston,SKU-2001,Health,47,220,12.98,48.0,51.57,51.34,49.8,gradient_boosting,49.8
2025-04-17,Boston,SKU-2001,Health,60,202,12.97,60.0,55.54,50.33,51.05,gradient_boosting,51.05
2025-04-18,Boston,SKU-2001,Health,69,203,13.07,60.0,57.18,63.64,61.85,gradient_boosting,61.85
2025-04-19,Boston,SKU-2001,Health,39,250,13.1,57.0,62.32,59.34,59.26,gradient_boosting,59.26
2025-04-20,Boston,SKU-2001,Health,78,263,13.0,66.0,59.86,59.26,60.04,gradient_boosting,60.04
2025-04-21,Boston,SKU-2001,Health,57,279,12.87,45.0,48.35,49.26,49.83,gradient_boosting,49.83
2025-04-22,Boston,SKU-2001,Health,32,302,12.76,42.0,47.19,49.31,50.17,gradient_boosting,50.17
2025-04-23,Boston,SKU-2001,Health,48,126,12.9,47.0,51.94,48.06,48.22,gradient_boosting,48.22
2025-04-24,Boston,SKU-2001,Health,56,224,13.22,60.0,55.8,48.97,51.48,gradient_boosting,51.48
2025-04-25,Boston,SKU-2001,Health,75,305,12.8,69.0,56.07,59.67,61.69,gradient_boosting,61.69
2025-04-26,Boston,SKU-2001,Health,62,186,12.76,39.0,57.84,66.47,60.94,gradient_boosting,60.94
2025-04-27,Boston,SKU-2001,Health,77,141,12.76,78.0,68.04,64.92,63.31,gradient_boosting,63.31
2025-04-28,Boston,SKU-2001,Health,54,178,12.96,57.0,49.04,53.1,52.52,gradient_boosting,52.52
2025-04-29,Boston,SKU-2001,Health,55,91,13.11,32.0,48.26,52.43,51.46,gradient_boosting,51.46
2025-04-30,Boston,SKU-2001,Health,40,172,13.0,48.0,52.83,53.81,52.59,gradient_boosting,52.59
2025-03-02,Boston,SKU-2002,Health,39,108,18.89,50.0,52.12,45.81,45.03,gradient_boosting,45.03
2025-03-03,Boston,SKU-2002,Health,26,181,19.07,42.0,35.93,37.79,36.49,gradient_boosting,36.49
2025-03-04,Boston,SKU-2002,Health,41,177,18.83,42.0,33.47,35.28,34.34,gradient_boosting,34.34
2025-03-05,Boston,SKU-2002,Health,38,257,19.05,27.0,29.87,35.51,32.51,gradient_boosting,32.51
2025-03-06,Boston,SKU-2002,Health,37,153,19.07,26.0,38.02,35.95,34.52,gradient_boosting,34.52
2025-03-07,Boston,SKU-2002,Health,37,160,18.43,75.0,47.48,48.32,46.28,gradient_boosting,46.28
2025-03-08,Boston,SKU-2002,Health,45,256,19.02,40.0,44.35,41.13,43.53,gradient_boosting,43.53
2025-03-09,Boston,SKU-2002,Health,49,208,18.85,39.0,46.07,43.67,43.53,gradient_boosting,43.53
2025-03-10,Boston,SKU-2002,Health,40,280,17.35,26.0,46.0,44.97,41.52,gradient_boosting,41.52
2025-03-11,Boston,SKU-2002,Health,33,151,19.26,41.0,36.0,37.16,35.14,gradient_boosting,35.14
2025-03-12,Boston,SKU-2002,Health,37,306,19.03,38.0,32.99,35.05,33.95,gradient_boosting,33.95
2025-03-13,Boston,SKU-2002,Health,49,70,19.27,37.0,39.59,38.72,33.95,gradient_boosting,33.95
2025-03-14,Boston,SKU-2002,Health,50,127,17.12,37.0,63.75,56.93,55.53,gradient_boosting,55.53
2025-03-15,Boston,SKU-2002,Health,40,147,18.85,45.0,43.88,45.63,45.36,gradient_boosting,45.36
2025-03-16,Boston,SKU-2002,Health,46,240,19.35,49.0,44.59,43.72,45.58,gradient_boosting,45.58
2025-03-17,Boston,SKU-2002,Health,35,218,18.86,40.0,31.96,36.8,36.64,gradient_boosting,36.64
2025-03-18,Boston,SKU-2002,Health,31,196,19.27,33.0,35.36,36.61,38.41,gradient_boosting,38.41
2025-03-19,Boston,SKU-2002,Health,41,254,19.12,37.0,36.21,36.81,36.81,gradient_boosting,36.81
2025-03-20,Boston,SKU-2002,Health,39,190,18.88,49.0,40.6,37.08,38.31,gradient_boosting,38.31
2025-03-21,Boston,SKU-2002,Health,32,226,17.24,50.0,54.74,56.07,52.51,gradient_boosting,52.51
2025-03-22,Boston,SKU-2002,Health,32,179,19.44,40.0,41.99,43.13,42.67,gradient_boosting,42.67
2025-03-23,Boston,SKU-2002,Health,46,239,19.14,46.0,45.7,41.8,43.58,gradient_boosting,43.58
2025-03-24,Boston,SKU-2002,Health,44,195,19.17,35.0,31.1,35.47,35.41,gradient_boosting,35.41
2025-03-25,Boston,SKU-2002,Health,48,232,17.36,31.0,46.45,44.03,39.76,gradient_boosting,39.76
2025-03-26,Boston,SKU-2002,Health,41,118,17.07,41.0,51.17,46.32,41.2,gradient_boosting,41.2
2025-03-27,Boston,SKU-2002,Health,44,125,19.01,39.0,40.79,36.45,35.56,gradient_boosting,35.56
2025-03-28,Boston,SKU-2002,Health,42,169,19.19,32.0,41.27,47.93,44.29,gradient_boosting,44.29
2025-03-29,Boston,SKU-2002,Health,42,250,17.37,32.0,55.2,55.6,51.37,gradient_boosting,51.37
2025-03-30,Boston,SKU-2002,Health,50,251,18.61,46.0,42.34,42.77,44.24,gradient_boosting,44.24
2025-03-31,Boston,SKU-2002,Health,35,223,18.54,44.0,31.36,33.31,36.22,gradient_boosting,36.22
2025-04-01,Boston,SKU-2002,Health,41,212,18.94,48.0,33.94,34.55,35.73,gradient_boosting,35.73
2025-04-02,Boston,SKU-2002,Health,36,238,19.03,41.0,34.55,34.19,36.46,gradient_boosting,36.46
2025-04-03,Boston,SKU-2002,Health,31,167,18.65,44.0,38.22,33.88,36.22,gradient_boosting,36.22
2025-04-04,Boston,SKU-2002,Health,43,228,18.84,42.0,37.15,44.31,41.68,gradient_boosting,41.68
2025-04-05,Boston,SKU-2002,Health,33,194,18.68,42.0,38.51,46.87,41.15,gradient_boosting,41.15
2025-04-06,Boston,SKU-2002,Health,49,193,18.87,50.0,45.14,45.62,43.31,gradient_boosting,43.31
2025-04-07,Boston,SKU-2002,Health,36,245,19.17,35.0,30.86,33.17,35.46,gradient_boosting,35.46
2025-04-08,Boston,SKU-2002,Health,23,253,18.9,41.0,33.8,32.9,35.46,gradient_boosting,35.46
2025-04-09,Boston,SKU-2002,Health,40,237,19.0,36.0,34.61,32.74,35.53,gradient_boosting,35.53
2025-04-10,Boston,SKU-2002,Health,34,118,19.03,31.0,36.43,35.86,34.39,gradient_boosting,34.39
2025-04-11,Boston,SKU-2002,Health,48,166,19.14,43.0,39.37,44.36,42.99,gradient_boosting,42.99
2025-04-12,Boston,SKU-2002,Health,68,96,16.94,33.0,58.36,56.31,50.92,gradient_boosting,50.92
2025-04-13,Boston,SKU-2002,Health,45,105,19.34,49.0,46.86,43.62,44.52,gradient_boosting,44.52
2025-04-14,Boston,SKU-2002,Health,48,260,17.17,36.0,46.31,45.41,42.65,gradient_boosting,42.65
2025-04-15,Boston,SKU-2002,Health,27,194,18.71,23.0,31.22,33.34,35.2,gradient_boosting,35.2
2025-04-16,Boston,SKU-2002,Health,43,123,19.07,40.0,38.06,36.02,36.49,gradient_boosting,36.49
2025-04-17,Boston,SKU-2002,Health,38,196,18.79,34.0,35.82,34.29,35.52,gradient_boosting,35.52
2025-04-18,Boston,SKU-2002,Health,39,108,19.13,48.0,43.75,45.01,44.68,gradient_boosting,44.68
2025-04-19,Boston,SKU-2002,Health,54,199,19.06,68.0,44.64,47.83,44.62,gradient_boosting,44.62
2025-04-20,Boston,SKU-2002,Health,49,192,18.76,45.0,46.15,46.68,46.03,gradient_boosting,46.03
2025-04-21,Boston,SKU-2002,Health,49,125,18.55,48.0,35.03,35.9,38.24,gradient_boosting,38.24
2025-04-22,Boston,SKU-2002,Health,40,127,19.02,27.0,32.09,35.96,35.44,gradient_boosting,35.44
2025-04-23,Boston,SKU-2002,Health,45,127,17.1,43.0,53.59,47.99,45.09,gradient_boosting,45.09
2025-04-24,Boston,SKU-2002,Health,32,226,19.03,38.0,35.95,35.02,36.52,gradient_boosting,36.52
2025-04-25,Boston,SKU-2002,Health,34,194,19.22,39.0,42.05,45.91,45.87,gradient_boosting,45.87
2025-04-26,Boston,SKU-2002,Health,26,239,19.55,54.0,48.39,45.88,46.3,gradient_boosting,46.3
2025-04-27,Boston,SKU-2002,Health,55,104,18.66,49.0,47.53,45.05,43.5,gradient_boosting,43.5
2025-04-28,Boston,SKU-2002,Health,44,191,16.91,49.0,51.14,48.08,43.74,gradient_boosting,43.74
