date,store,sku,category,price,promotion,holiday,weather_index,units_sold,inventory_on_hand,revenue
2024-03-11,Providence,SKU-1001,Grocery,4.44,1,0,0.882,166,413,737.04
2024-03-12,Providence,SKU-1001,Grocery,4.92,0,0,0.676,151,755,742.92
2024-03-13,Providence,SKU-1001,Grocery,4.42,1,0,0.774,159,258,702.78
2024-03-14,Providence,SKU-1001,Grocery,4.46,1,0,0.588,141,558,628.86
2024-03-15,Providence,SKU-1001,Grocery,5.02,0,0,0.874,158,238,793.16
2024-03-16,Providence,SKU-1001,Grocery,5.07,0,0,0.76,163,552,826.41
2024-03-17,Providence,SKU-1001,Grocery,5.0,0,0,0.732,199,319,995.0
2024-03-18,Providence,SKU-1001,Grocery,5.01,0,0,0.611,94,231,470.94
2024-03-19,Providence,SKU-1001,Grocery,4.47,1,0,0.942,199,308,889.53
2024-03-20,Providence,SKU-1001,Grocery,4.97,0,0,0.731,148,445,735.56
2024-03-21,Providence,SKU-1001,Grocery,4.99,0,0,1.0,142,682,708.58
2024-03-22,Providence,SKU-1001,Grocery,4.99,0,0,0.685,143,531,713.57
2024-03-23,Providence,SKU-1001,Grocery,5.04,0,0,0.784,201,567,1013.04
2024-03-24,Providence,SKU-1001,Grocery,4.97,0,0,0.814,113,441,561.61
2024-03-25,Providence,SKU-1001,Grocery,5.09,0,0,0.808,117,304,595.53
2024-03-26,Providence,SKU-1001,Grocery,5.17,0,0,0.751,120,572,620.4
2024-03-27,Providence,SKU-1001,Grocery,5.0,0,0,0.687,152,601,760.0
2024-03-28,Providence,SKU-1001,Grocery,5.06,0,0,0.891,112,339,566.72
2024-03-29,Providence,SKU-1001,Grocery,5.1,0,0,0.64,210,497,1071.0
2024-03-30,Providence,SKU-1001,Grocery,4.96,0,0,0.578,152,608,753.92
2024-03-31,Providence,SKU-1001,Grocery,4.95,0,0,0.827,96,437,475.2
2024-04-01,Providence,SKU-1001,Grocery,5.01,0,0,0.666,127,543,636.27
2024-04-02,Providence,SKU-1001,Grocery,5.04,0,0,0.765,143,559,720.72
2024-04-03,Providence,SKU-1001,Grocery,4.98,0,0,0.647,114,381,567.72
2024-04-04,Providence,SKU-1001,Grocery,4.95,0,0,0.575,130,553,643.5
2024-04-05,Providence,SKU-1001,Grocery,5.06,0,0,0.768,163,400,824.78
2024-04-06,Providence,SKU-1001,Grocery,4.88,0,0,0.669,174,325,849.12
2024-04-07,Providence,SKU-1001,Grocery,5.09,0,0,0.825,161,520,819.49
2024-04-08,Providence,SKU-1001,Grocery,4.97,0,0,0.544,148,823,735.56
2024-04-09,Providence,SKU-1001,Grocery,5.01,0,0,0.864,105,548,526.05
2024-04-10,Providence,SKU-1001,Grocery,4.96,0,0,0.47,100,469,496.0
2024-04-11,Providence,SKU-1001,Grocery,5.01,0,0,0.453,142,470,711.42
2024-04-12,Providence,SKU-1001,Grocery,4.94,0,0,0.728,190,568,938.6
2024-04-13,Providence,SKU-1001,Grocery,4.42,1,0,0.689,151,522,667.42
2024-04-14,Providence,SKU-1001,Grocery,5.04,0,0,0.687,148,683,745.92
2024-04-15,Providence,SKU-1001,Grocery,4.51,1,0,0.581,173,342,780.23
2024-04-16,Providence,SKU-1001,Grocery,4.91,0,0,0.364,165,920,810.15
2024-04-17,Providence,SKU-1001,Grocery,4.97,0,0,0.616,127,391,631.19
2024-04-18,Providence,SKU-1001,Grocery,4.88,0,0,0.732,182,523,888.16
2024-04-19,Providence,SKU-1001,Grocery,5.04,0,0,0.438,167,431,841.68
2024-04-20,Providence,SKU-1001,Grocery,5.11,0,0,0.51,180,540,919.8
2024-04-21,Providence,SKU-1001,Grocery,5.08,0,0,0.601,114,519,579.12
2024-04-22,Providence,SKU-1001,Grocery,4.98,0,0,0.433,91,614,453.18
2024-04-23,Providence,SKU-1001,Grocery,5.05,0,0,0.667,114,339,575.7
2024-04-24,Providence,SKU-1001,Grocery,5.17,0,0,0.682,140,490,723.8
2024-04-25,Providence,SKU-1001,Grocery,5.08,0,0,0.567,120,441,609.6
2024-04-26,Providence,SKU-1001,Grocery,4.46,1,0,0.576,210,513,936.6
2024-04-27,Providence,SKU-1001,Grocery,4.93,0,0,0.53,94,392,463.42
2024-04-28,Providence,SKU-1001,Grocery,5.07,0,0,0.591,133,558,674.31
2024-04-29,Providence,SKU-1001,Grocery,4.92,0,0,0.685,125,676,615.0
2024-04-30,Providence,SKU-1001,Grocery,4.91,0,0,0.614,125,348,613.75
2024-05-01,Providence,SKU-1001,Grocery,4.96,0,0,0.49,126,723,624.96
2024-05-02,Providence,SKU-1001,Grocery,4.92,0,0,0.785,138,686,678.96
2024-05-03,Providence,SKU-1001,Grocery,5.02,0,0,0.613,178,388,893.56
2024-05-04,Providence,SKU-1001,Grocery,4.54,1,0,0.7,141,191,640.14
2024-05-05,Providence,SKU-1001,Grocery,4.91,0,0,0.377,161,624,790.51
2024-05-06,Providence,SKU-1001,Grocery,4.96,0,0,0.49,127,476,629.92
2024-05-07,Providence,SKU-1001,Grocery,5.12,0,0,0.731,108,634,552.96
2024-05-08,Providence,SKU-1001,Grocery,5.08,0,0,0.668,146,666,741.68
2024-05-09,Providence,SKU-1001,Grocery,5.0,0,0,0.522,98,778,490.0
2024-05-10,Providence,SKU-1001,Grocery,5.01,0,0,0.747,163,497,816.63
2024-05-11,Providence,SKU-1001,Grocery,4.99,0,0,0.426,156,417,778.44
2024-05-12,Providence,SKU-1001,Grocery,4.99,0,0,0.609,161,446,803.39
2024-05-13,Providence,SKU-1001,Grocery,4.93,0,0,0.426,136,532,670.48
2024-05-14,Providence,SKU-1001,Grocery,4.56,1,0,0.7,185,468,843.6
2024-05-15,Providence,SKU-1001,Grocery,5.02,0,0,0.616,156,634,783.12
2024-05-16,Providence,SKU-1001,Grocery,4.97,0,0,0.593,122,428,606.34
2024-05-17,Providence,SKU-1001,Grocery,4.94,0,0,0.601,147,589,726.18
2024-05-18,Providence,SKU-1001,Grocery,4.95,0,0,0.733,127,160,628.65
2024-05-19,Providence,SKU-1001,Grocery,4.99,0,0,0.544,192,10,958.08
2024-05-20,Providence,SKU-1001,Grocery,4.91,0,0,0.509,107,429,525.37
2024-05-21,Providence,SKU-1001,Grocery,5.13,0,0,0.511,167,464,856.71
2024-05-22,Providence,SKU-1001,Grocery,5.0,0,0,0.592,197,621,985.0
2024-05-23,Providence,SKU-1001,Grocery,4.96,0,0,0.487,144,525,714.24
2024-05-24,Providence,SKU-1001,Grocery,5.02,0,0,0.593,102,661,512.04
2024-05-25,Providence,SKU-1001,Grocery,4.49,1,0,0.549,166,669,745.34
2024-05-26,Providence,SKU-1001,Grocery,4.95,0,0,0.53,163,269,806.85
2024-05-27,Providence,SKU-1001,Grocery,4.85,0,0,0.298,120,459,582.0
2024-05-28,Providence,SKU-1001,Grocery,5.01,0,0,0.644,99,391,495.99
2024-05-29,Providence,SKU-1001,Grocery,5.08,0,0,0.475,67,284,340.36
2024-05-30,Providence,SKU-1001,Grocery,4.96,0,0,0.528,115,680,570.4
2024-05-31,Providence,SKU-1001,Grocery,5.03,0,0,0.336,161,471,809.83
2024-06-01,Providence,SKU-1001,Grocery,4.94,0,0,0.765,150,335,741.0
2024-06-02,Providence,SKU-1001,Grocery,4.93,0,0,0.562,168,362,828.24
2024-06-03,Providence,SKU-1001,Grocery,5.1,0,0,0.575,151,254,770.1
2024-06-04,Providence,SKU-1001,Grocery,5.0,0,0,0.44,116,815,580.0
2024-06-05,Providence,SKU-1001,Grocery,4.97,0,0,0.515,120,593,596.4
2024-06-06,Providence,SKU-1001,Grocery,5.01,0,0,0.573,96,565,480.96
2024-06-07,Providence,SKU-1001,Grocery,5.01,0,0,0.606,165,695,826.65
2024-06-08,Providence,SKU-1001,Grocery,5.02,0,0,0.145,155,0,778.1
2024-06-09,Providence,SKU-1001,Grocery,5.03,0,0,0.354,128,696,643.84
2024-06-10,Providence,SKU-1001,Grocery,4.99,0,0,0.54,154,529,768.46
2024-06-11,Providence,SKU-1001,Grocery,4.99,0,0,0.324,111,417,553.89
2024-06-12,Providence,SKU-1001,Grocery,4.97,0,0,0.472,123,637,611.31
2024-06-13,Providence,SKU-1001,Grocery,5.07,0,0,0.433,87,578,441.09
2024-06-14,Providence,SKU-1001,Grocery,5.01,0,0,0.567,159,602,796.59
2024-06-15,Providence,SKU-1001,Grocery,4.97,0,0,0.418,169,741,839.93
2024-06-16,Providence,SKU-1001,Grocery,4.98,0,0,0.516,167,449,831.66
2024-06-17,Providence,SKU-1001,Grocery,4.99,0,0,0.383,107,665,533.93
2024-06-18,Providence,SKU-1001,Grocery,4.54,1,0,0.423,160,580,726.4
2024-06-19,Providence,SKU-1001,Grocery,4.95,0,0,0.267,92,411,455.4
2024-06-20,Providence,SKU-1001,Grocery,4.96,0,0,0.537,123,602,610.08
2024-06-21,Providence,SKU-1001,Grocery,4.83,0,0,0.416,87,539,420.21
2024-06-22,Providence,SKU-1001,Grocery,5.08,0,0,0.481,131,602,665.48
2024-06-23,Providence,SKU-1001,Grocery,5.06,0,0,0.388,163,626,824.78
2024-06-24,Providence,SKU-1001,Grocery,5.04,0,0,0.464,98,365,493.92
2024-06-25,Providence,SKU-1001,Grocery,4.92,0,0,0.502,89,490,437.88
2024-06-26,Providence,SKU-1001,Grocery,4.89,0,0,0.623,118,614,577.02
2024-06-27,Providence,SKU-1001,Grocery,4.98,0,0,0.619,105,740,522.9
2024-06-28,Providence,SKU-1001,Grocery,4.42,1,0,0.496,219,391,967.98
2024-06-29,Providence,SKU-1001,Grocery,4.97,0,0,0.248,116,568,576.52
2024-06-30,Providence,SKU-1001,Grocery,4.95,0,0,0.609,149,441,737.55
2024-07-01,Providence,SKU-1001,Grocery,5.0,0,0,0.385,83,330,415.0
2024-07-02,Providence,SKU-1001,Grocery,4.95,0,0,0.433,127,490,628.65
2024-07-03,Providence,SKU-1001,Grocery,4.98,0,0,0.619,123,692,612.54
2024-07-04,Providence,SKU-1001,Grocery,5.04,0,1,0.499,144,298,725.76
2024-07-05,Providence,SKU-1001,Grocery,4.93,0,0,0.582,162,683,798.66
2024-07-06,Providence,SKU-1001,Grocery,4.97,0,0,0.435,140,729,695.8
2024-07-07,Providence,SKU-1001,Grocery,4.92,0,0,0.475,138,360,678.96
2024-07-08,Providence,SKU-1001,Grocery,4.47,1,0,0.631,134,431,598.98
2024-07-09,Providence,SKU-1001,Grocery,4.97,0,0,0.334,135,458,670.95
2024-07-10,Providence,SKU-1001,Grocery,4.99,0,0,0.404,109,811,543.91
2024-07-11,Providence,SKU-1001,Grocery,4.95,0,0,0.414,122,630,603.9
2024-07-12,Providence,SKU-1001,Grocery,5.07,0,0,0.433,160,516,811.2
2024-07-13,Providence,SKU-1001,Grocery,5.0,0,0,0.409,171,154,855.0
2024-07-14,Providence,SKU-1001,Grocery,4.96,0,0,0.376,98,378,486.08
2024-07-15,Providence,SKU-1001,Grocery,5.12,0,0,0.355,99,357,506.88
2024-07-16,Providence,SKU-1001,Grocery,4.92,0,0,0.393,76,440,373.92
2024-07-17,Providence,SKU-1001,Grocery,5.02,0,0,0.243,121,444,607.42
2024-07-18,Providence,SKU-1001,Grocery,4.4,1,0,0.362,138,557,607.2
2024-07-19,Providence,SKU-1001,Grocery,5.07,0,0,0.367,150,792,760.5
2024-07-20,Providence,SKU-1001,Grocery,4.92,0,0,0.574,109,330,536.28
2024-07-21,Providence,SKU-1001,Grocery,4.98,0,0,0.317,115,460,572.7
2024-07-22,Providence,SKU-1001,Grocery,5.01,0,0,0.5,97,470,485.97
2024-07-23,Providence,SKU-1001,Grocery,4.4,1,0,0.174,74,342,325.6
2024-07-24,Providence,SKU-1001,Grocery,5.09,0,0,0.439,120,392,610.8
2024-07-25,Providence,SKU-1001,Grocery,4.95,0,0,0.456,115,390,569.25
2024-07-26,Providence,SKU-1001,Grocery,5.0,0,0,0.427,112,550,560.0
2024-07-27,Providence,SKU-1001,Grocery,5.11,0,0,0.539,108,801,551.88
2024-07-28,Providence,SKU-1001,Grocery,5.0,0,0,0.335,87,530,435.0
2024-07-29,Providence,SKU-1001,Grocery,5.1,0,0,0.288,107,434,545.7
2024-07-30,Providence,SKU-1001,Grocery,4.99,0,0,0.591,95,703,474.05
2024-07-31,Providence,SKU-1001,Grocery,4.96,0,0,0.375,100,366,496.0
2024-08-01,Providence,SKU-1001,Grocery,5.03,0,0,0.565,131,406,658.93
2024-08-02,Providence,SKU-1001,Grocery,4.99,0,0,0.307,164,620,818.36
2024-08-03,Providence,SKU-1001,Grocery,4.83,0,0,0.137,142,481,685.86
2024-08-04,Providence,SKU-1001,Grocery,4.99,0,0,0.618,149,575,743.51
2024-08-05,Providence,SKU-1001,Grocery,4.83,0,0,0.407,117,241,565.11
2024-08-06,Providence,SKU-1001,Grocery,4.92,0,0,0.382,63,656,309.96
2024-08-07,Providence,SKU-1001,Grocery,4.8,0,0,0.255,121,97,580.8
2024-08-08,Providence,SKU-1001,Grocery,5.05,0,0,0.293,107,583,540.35
2024-08-09,Providence,SKU-1001,Grocery,4.52,1,0,0.195,183,335,827.16
2024-08-10,Providence,SKU-1001,Grocery,4.87,0,0,0.401,147,588,715.89
2024-08-11,Providence,SKU-1001,Grocery,5.05,0,0,0.147,98,681,494.9
2024-08-12,Providence,SKU-1001,Grocery,5.13,0,0,0.428,112,936,574.56
2024-08-13,Providence,SKU-1001,Grocery,5.02,0,0,0.424,90,343,451.8
2024-08-14,Providence,SKU-1001,Grocery,4.44,1,0,0.481,119,436,528.36
2024-08-15,Providence,SKU-1001,Grocery,5.02,0,0,0.6,109,430,547.18
2024-08-16,Providence,SKU-1001,Grocery,4.97,0,0,0.325,143,261,710.71
2024-08-17,Providence,SKU-1001,Grocery,5.02,0,0,0.235,151,668,758.02
2024-08-18,Providence,SKU-1001,Grocery,5.05,0,0,0.419,88,516,444.4
2024-08-19,Providence,SKU-1001,Grocery,5.0,0,0,0.405,124,713,620.0
2024-08-20,Providence,SKU-1001,Grocery,4.98,0,0,0.16,97,768,483.06
2024-08-21,Providence,SKU-1001,Grocery,4.92,0,0,0.289,122,474,600.24
2024-08-22,Providence,SKU-1001,Grocery,5.13,0,0,0.442,94,588,482.22
2024-08-23,Providence,SKU-1001,Grocery,4.97,0,0,0.346,111,430,551.67
2024-08-24,Providence,SKU-1001,Grocery,5.04,0,0,0.369,133,434,670.32
2024-08-25,Providence,SKU-1001,Grocery,5.08,0,0,0.535,104,886,528.32
2024-08-26,Providence,SKU-1001,Grocery,4.99,0,0,0.345,92,616,459.08
2024-08-27,Providence,SKU-1001,Grocery,4.92,0,0,0.47,113,663,555.96
2024-08-28,Providence,SKU-1001,Grocery,4.92,0,0,0.267,67,592,329.64
2024-08-29,Providence,SKU-1001,Grocery,4.77,0,0,0.222,114,467,543.78
2024-08-30,Providence,SKU-1001,Grocery,5.1,0,0,0.355,126,884,642.6
2024-08-31,Providence,SKU-1001,Grocery,4.95,0,0,0.334,131,465,648.45
2024-09-01,Providence,SKU-1001,Grocery,4.98,0,0,0.649,125,779,622.5
2024-09-02,Providence,SKU-1001,Grocery,4.94,0,0,0.272,102,688,503.88
2024-09-03,Providence,SKU-1001,Grocery,4.89,0,0,0.203,64,593,312.96
2024-09-04,Providence,SKU-1001,Grocery,4.82,0,0,0.352,92,829,443.44
2024-09-05,Providence,SKU-1001,Grocery,5.12,0,0,0.43,105,525,537.6
2024-09-06,Providence,SKU-1001,Grocery,4.93,0,0,0.482,90,611,443.7
2024-09-07,Providence,SKU-1001,Grocery,4.99,0,0,0.303,95,484,474.05
2024-09-08,Providence,SKU-1001,Grocery,4.9,0,0,0.464,94,472,460.6
2024-09-09,Providence,SKU-1001,Grocery,5.01,0,0,0.354,103,181,516.03
2024-09-10,Providence,SKU-1001,Grocery,5.0,0,0,0.389,104,684,520.0
2024-09-11,Providence,SKU-1001,Grocery,5.01,0,0,0.296,116,437,581.16
2024-09-12,Providence,SKU-1001,Grocery,4.78,0,0,0.355,91,478,434.98
2024-09-13,Providence,SKU-1001,Grocery,4.48,1,0,0.128,156,576,698.88
2024-09-14,Providence,SKU-1001,Grocery,4.9,0,0,0.627,100,620,490.0
2024-09-15,Providence,SKU-1001,Grocery,5.1,0,0,0.355,136,576,693.6
2024-09-16,Providence,SKU-1001,Grocery,4.97,0,0,0.174,79,658,392.63
2024-09-17,Providence,SKU-1001,Grocery,4.94,0,0,0.32,87,315,429.78
2024-09-18,Providence,SKU-1001,Grocery,5.05,0,0,0.488,92,509,464.6
2024-09-19,Providence,SKU-1001,Grocery,4.9,0,0,0.28,82,383,401.8
2024-09-20,Providence,SKU-1001,Grocery,4.87,0,0,0.397,113,592,550.31
2024-09-21,Providence,SKU-1001,Grocery,4.9,0,0,0.399,140,222,686.0
2024-09-22,Providence,SKU-1001,Grocery,4.98,0,0,0.463,103,492,512.94
2024-09-23,Providence,SKU-1001,Grocery,5.06,0,0,0.28,85,301,430.1
2024-09-24,Providence,SKU-1001,Grocery,4.94,0,0,0.446,102,545,503.88
2024-09-25,Providence,SKU-1001,Grocery,4.91,0,0,0.396,113,755,554.83
2024-09-26,Providence,SKU-1001,Grocery,5.09,0,0,0.465,97,477,493.73
2024-09-27,Providence,SKU-1001,Grocery,4.97,0,0,0.401,119,428,591.43
2024-09-28,Providence,SKU-1001,Grocery,4.86,0,0,0.447,102,611,495.72
2024-09-29,Providence,SKU-1001,Grocery,5.08,0,0,0.433,142,177,721.36
2024-09-30,Providence,SKU-1001,Grocery,4.56,1,0,0.265,96,592,437.76
2024-10-01,Providence,SKU-1001,Grocery,5.07,0,0,0.202,108,529,547.56
2024-10-02,Providence,SKU-1001,Grocery,5.03,0,0,0.126,102,301,513.06
2024-10-03,Providence,SKU-1001,Grocery,5.08,0,0,0.396,82,486,416.56
2024-10-04,Providence,SKU-1001,Grocery,4.96,0,0,0.391,84,571,416.64
2024-10-05,Providence,SKU-1001,Grocery,5.0,0,0,0.708,97,523,485.0
2024-10-06,Providence,SKU-1001,Grocery,4.94,0,0,0.451,118,536,582.92
2024-10-07,Providence,SKU-1001,Grocery,4.87,0,0,0.443,102,513,496.74
2024-10-08,Providence,SKU-1001,Grocery,5.02,0,0,0.341,88,292,441.76
2024-10-09,Providence,SKU-1001,Grocery,5.08,0,0,0.354,104,493,528.32
2024-10-10,Providence,SKU-1001,Grocery,5.06,0,0,0.369,67,326,339.02
2024-10-11,Providence,SKU-1001,Grocery,4.9,0,0,0.485,109,926,534.1
2024-10-12,Providence,SKU-1001,Grocery,4.42,1,0,0.379,147,138,649.74
2024-10-13,Providence,SKU-1001,Grocery,4.96,0,0,0.472,141,443,699.36
2024-10-14,Providence,SKU-1001,Grocery,5.04,0,0,0.429,77,540,388.08
2024-10-15,Providence,SKU-1001,Grocery,5.04,0,0,0.285,111,352,559.44
2024-10-16,Providence,SKU-1001,Grocery,5.07,0,0,0.46,79,447,400.53
2024-10-17,Providence,SKU-1001,Grocery,4.98,0,0,0.447,91,321,453.18
2024-10-18,Providence,SKU-1001,Grocery,4.89,0,0,0.43,101,583,493.89
2024-10-19,Providence,SKU-1001,Grocery,5.03,0,0,0.298,132,444,663.96
2024-10-20,Providence,SKU-1001,Grocery,4.95,0,0,0.566,104,455,514.8
2024-10-21,Providence,SKU-1001,Grocery,5.07,0,0,0.537,126,858,638.82
2024-10-22,Providence,SKU-1001,Grocery,4.9,0,0,0.371,84,385,411.6
2024-10-23,Providence,SKU-1001,Grocery,4.9,0,0,0.568,80,1005,392.0
2024-10-24,Providence,SKU-1001,Grocery,4.96,0,0,0.478,73,811,362.08
2024-10-25,Providence,SKU-1001,Grocery,4.89,0,0,0.497,96,803,469.44
2024-10-26,Providence,SKU-1001,Grocery,4.81,0,0,0.357,134,647,644.54
2024-10-27,Providence,SKU-1001,Grocery,5.01,0,0,0.6,86,548,430.86
2024-10-28,Providence,SKU-1001,Grocery,4.85,0,0,0.441,90,482,436.5
2024-10-29,Providence,SKU-1001,Grocery,4.99,0,0,0.537,92,455,459.08
2024-10-30,Providence,SKU-1001,Grocery,5.03,0,0,0.486,97,643,487.91
2024-10-31,Providence,SKU-1001,Grocery,5.01,0,0,0.488,100,418,501.0
2024-11-01,Providence,SKU-1001,Grocery,5.03,0,0,0.461,75,692,377.25
2024-11-02,Providence,SKU-1001,Grocery,4.92,0,0,0.576,142,689,698.64
2024-11-03,Providence,SKU-1001,Grocery,5.05,0,0,0.505,98,595,494.9
2024-11-04,Providence,SKU-1001,Grocery,5.01,0,0,0.47,123,398,616.23
2024-11-05,Providence,SKU-1001,Grocery,5.06,0,0,0.324,73,218,369.38
2024-11-06,Providence,SKU-1001,Grocery,4.96,0,0,0.586,87,598,431.52
2024-11-07,Providence,SKU-1001,Grocery,4.52,1,0,0.427,115,723,519.8
2024-11-08,Providence,SKU-1001,Grocery,5.04,0,0,0.383,153,606,771.12
2024-11-09,Providence,SKU-1001,Grocery,4.48,1,0,0.598,142,582,636.16
2024-11-10,Providence,SKU-1001,Grocery,4.94,0,0,0.376,99,268,489.06
2024-11-11,Providence,SKU-1001,Grocery,5.1,0,0,0.327,110,729,561.0
2024-11-12,Providence,SKU-1001,Grocery,4.36,1,0,0.557,98,540,427.28
2024-11-13,Providence,SKU-1001,Grocery,5.07,0,0,0.434,78,245,395.46
2024-11-14,Providence,SKU-1001,Grocery,4.87,0,0,0.586,92,337,448.04
2024-11-15,Providence,SKU-1001,Grocery,5.04,0,0,0.519,140,389,705.6
2024-11-16,Providence,SKU-1001,Grocery,4.95,0,0,0.59,109,650,539.55
2024-11-17,Providence,SKU-1001,Grocery,5.08,0,0,0.175,108,723,548.64
2024-11-18,Providence,SKU-1001,Grocery,4.91,0,0,0.667,67,732,328.97
